algorithm,params,cluster_count,noise_ratio,min_cluster_size,sample_count,valid,silhouette_score,davies_bouldin_index,calinski_harabasz_score,objective_score
KMeans,"{""pca_components"": 2, ""n_clusters"": 2, ""n_init"": 10}",2,0.0,1117,2240,True,0.5445383268770986,0.6626400916027684,3986.062650007422,0.5441738083648308
KMeans,"{""pca_components"": 2, ""n_clusters"": 2, ""n_init"": 25}",2,0.0,1109,2240,True,0.5444265235224633,0.6635826700516413,3986.2126183991827,0.5440174407169606
GaussianMixture,"{""pca_components"": 2, ""n_components"": 2, ""covariance_type"": ""full""}",2,0.0,1049,2240,True,0.5378244913065834,0.6666488245291855,3763.5443751418375,0.5372229689102616
GaussianMixture,"{""pca_components"": 2, ""n_components"": 2, ""covariance_type"": ""tied""}",2,0.0,1066,2240,True,0.5411027974812103,0.6619824404819286,3913.177317476984,0.5412713601003261
GaussianMixture,"{""pca_components"": 2, ""n_components"": 2, ""covariance_type"": ""diag""}",2,0.0,845,2240,True,0.4985574659197341,0.6637660756325616,3070.8240226433736,0.5050321013845265
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 2, ""linkage"": ""ward""}",2,0.0,968,2240,True,0.5241728150225102,0.6664532698485572,3589.6336409475775,0.5266278743471151
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 2, ""linkage"": ""complete""}",2,0.0,785,2240,True,0.4241799815246984,0.7621483259745762,2206.8195643504678,0.4396574632349348
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 2, ""linkage"": ""average""}",2,0.0,3,2240,True,0.5199842526121016,0.5663584993395753,19.132126169746098,0.39778694842478357
KMeans,"{""pca_components"": 2, ""n_clusters"": 3, ""n_init"": 10}",3,0.0,584,2240,True,0.48178584036561584,0.7897528911488978,3860.2243928209614,0.49144712797281814
KMeans,"{""pca_components"": 2, ""n_clusters"": 3, ""n_init"": 25}",3,0.0,587,2240,True,0.4816267842852627,0.7904741722616838,3860.2826901851804,0.4912880536494162
GaussianMixture,"{""pca_components"": 2, ""n_components"": 3, ""covariance_type"": ""full""}",3,0.0,712,2240,True,0.45350794411069945,0.839013036298733,3363.9389521997387,0.46436203705103196
GaussianMixture,"{""pca_components"": 2, ""n_components"": 3, ""covariance_type"": ""tied""}",3,0.0,506,2240,True,0.47942323319420593,0.7894000589275056,3809.30424419825,0.4894297746022904
GaussianMixture,"{""pca_components"": 2, ""n_components"": 3, ""covariance_type"": ""diag""}",3,0.0,660,2240,True,0.4526924734095489,0.8091746509583432,3429.903629662432,0.4667337022961189
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 3, ""linkage"": ""ward""}",3,0.0,544,2240,True,0.4582439029865402,0.8264590202055754,3423.0695394789286,0.4689661056928056
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 3, ""linkage"": ""complete""}",3,0.0,3,2240,True,0.4241750010012095,0.6524856274903232,1131.7155707598988,0.3383181525776955
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 3, ""linkage"": ""average""}",3,0.0,3,2240,True,0.49490731713080266,0.5842657938672914,1551.3626048600647,0.3950051860019921
KMeans,"{""pca_components"": 2, ""n_clusters"": 4, ""n_init"": 10}",4,0.0,376,2240,True,0.42163832151519903,0.8695104132914613,3420.538220734383,0.44199514141108337
KMeans,"{""pca_components"": 2, ""n_clusters"": 4, ""n_init"": 25}",4,0.0,376,2240,True,0.42148409865451836,0.8695064000102066,3420.562453440683,0.4418954259466887
GaussianMixture,"{""pca_components"": 2, ""n_components"": 4, ""covariance_type"": ""full""}",4,0.0,348,2240,True,0.4223819519893819,0.9355789971715893,3257.4080079885784,0.43628266749873806
GaussianMixture,"{""pca_components"": 2, ""n_components"": 4, ""covariance_type"": ""tied""}",4,0.0,268,2240,True,0.4268935945190969,0.8728533680441509,3314.6022708932956,0.4441130168272747
GaussianMixture,"{""pca_components"": 2, ""n_components"": 4, ""covariance_type"": ""diag""}",4,0.0,329,2240,True,0.4131633304314626,0.9165707443737584,3274.311945914558,0.4317405949680911
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 4, ""linkage"": ""ward""}",4,0.0,320,2240,True,0.41450943209835817,0.9075844812026033,3024.3840757013977,0.4307307662468246
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 4, ""linkage"": ""complete""}",4,0.0,3,2240,True,0.43707661853982677,0.7428038080884591,2125.5296788709798,0.3488021115439158
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 4, ""linkage"": ""average""}",4,0.0,3,2240,True,0.4705065137342557,0.7117111925276446,2438.395255253492,0.3762658623583942
KMeans,"{""pca_components"": 2, ""n_clusters"": 5, ""n_init"": 10}",5,0.0,272,2240,True,0.42916983028246675,0.8701102457714157,3192.5600774603263,0.444567948816162
